DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PLA
Roseateles depolymerans,0
Pseudomonas monteilii,0
Pseudomonas rhodesiae,0
Pseudomonas veronii,0
Moritella sp.,0
Pseudogymnoascus pannorum,0
Delftia acidovorans,0
Acidovorax avenae,0
Lentzea waywayandensis,1
Moesziomyces antarcticus,0
Achromobacter xylosoxidans,0
Pestalotiopsis microspora,0
Bacillus flexus,0
Rhodotorula sphaerocarpa,0
Cordyceps farinosa,0
Leptobacillium leptobactrum,0
Bordetella petrii,1
Ochrobactrum intermedium,0
Saccharothrix espanaensis,1
Saccharothrix syringae,1
Saccharothrix texasensis,1
Aspergillus awamori,0
Cupriavidus necator,0
Acinetobacter ursingii,1
Cordyceps fumosorosea,0
Fusarium verticillioides,0
Inonotus circinatus,0
Talaromyces pinophilus,0
Pseudomonas indica,0
Nonomuraea terrinata,1
Mycosphaerella arachidis,0
Nia vibrissa,0
Aspergillus nidulans,0
Exiguobacterium undae,0
Fusarium solani,1
Delftia tsuruhatensis,0
Marasmius oreades,0
Talaromyces verruculosus,0
Microbacterium paraoxydans,0
Acinetobacter gerneri,0
Amycolatopsis tolypomycina,1
Curvularia senegalensis,0
Schlegelella thermodepolymerans,0
Aestuariibacter halophilus,0
Myrothecium gramineum,0
Pseudomonas pachastrellae,0
Byssochlamys spectabilis,0
Bacillus stratosphericus,0
Bacillus altitudinis,0
Streptomyces bangladeshensis,0
Nocardiopsis sp.,0
Pseudomonas otitidis,0
Bacillus idriensis,0
Exiguobacterium sibiricum,0
Ochrobactrum oryzae,0
Pseudomonas protegens,0
Undibacterium pigrum,0
Stenotrophomonas humi,0
Arthrobacter oryzae,1
Bacillus aryabhattai,0
Microbacterium flavum,0
Paraphoma radicina,0
Aspergillus calidoustus,1
Streptomyces ascomycinicus,0
Aliiglaciecola lipolytica,0
Paenibacillus urinalis,0
Actinomadura keratinilytica,1
Pseudoalteromonas lipolytica,0
Pseudomonas chlororaphis,0
Amycolatopsis thailandensis,1
Acidovorax soli,0
Curvularia protuberata,0
Stenotrophomonas panacihumi,0
Phormidium lucidum,0
Aspergillus fumigatus,1
Paraphoma chrysanthemicola,0
Bacillus gottheilii,0
Lulwoana uniseptata,0
Rhizopus delemar,0
Mortierella lignicola,0
Cordyceps confragosa,0
Oscillatoria subbrevis,0
Acinetobacter oleivorans,0
Asteromyces cruciatus,0
Ideonella sakaiensis,0
Cladosporium sp.,0
Phoma sp.,0
Alternaria sp.,0
Mortierella sp.,1
Mucor sp.,0
Trichoderma sp.,0
Leptosphaeria sp.,0
Paraphoma sp.,0
Chaetomium sp.,0
Aureobasidium lini,0
Cochliobolus sp.,0
Rheinheimera sp.,0
Pseudoxanthomonas sp.,0
